"cohort","country","X1_sand.size","X2_sand.rate","X3_sand.total.duration..years.","X4_sand.share.of.lifespan....","X5_gsand.size","X6_gsand.rate","X7_gsand.total.duration..years.","X8_gsand.share.of.lifespan...."
1970,"ECU",56.7,3.1,4.4,5.6,53.8,2.5,5,6.5
2005,"ECU",48.6,2,3.2,3.8,56.2,2.2,5.5,6.5
2040,"ECU",41.2,1.5,2.6,2.9,53.4,2.1,5.4,6.2
1970,"EGY",58.9,4.5,5.2,7.7,49.7,2.6,4.1,6
2005,"EGY",67.3,3.6,5.4,6.7,62.7,2.6,5.7,7
2040,"EGY",56.3,2.5,4,4.8,58.4,2.3,5.6,6.7
1970,"ERI",63.5,5.3,5.7,9.6,39.5,1.8,2.7,4.4
2005,"ERI",68.1,3.7,5.8,7.6,49.2,1.8,3.7,4.9
2040,"ERI",59.9,3,4.5,5.7,50.1,1.8,4,5.1
1970,"ESH",55.1,4.6,4.9,7.3,35.5,1.5,2.5,3.8
2005,"ESH",61.9,3.5,5.2,6.5,36.2,1.1,2.5,3.2
2040,"ESH",57.9,2.9,4.6,5.5,38.2,1,2.8,3.3
1970,"ESP",51.3,2.2,3.6,4.1,35.2,1,2.6,3
2005,"ESP",55,2.2,3.9,4.3,33.5,0.8,2.4,2.7
2040,"ESP",55.4,2.2,4.1,4.4,32.6,0.8,2.4,2.6
1970,"EST",56.9,2.6,4.1,4.9,45.1,1.7,3.4,4
2005,"EST",58.4,2.4,4.2,4.8,42.3,1.3,3.1,3.5
2040,"EST",56.6,2.4,4,4.5,36.3,1,2.5,2.8
1970,"ETH",57.5,5.8,5.4,9.8,40.7,2.4,3.1,5.7
2005,"ETH",62.9,3.8,5.1,6.7,51.1,2.1,4.2,5.6
2040,"ETH",57.6,2.8,4.3,5.3,49.6,1.7,4.2,5.2
1970,"FIN",51.5,2.3,3.4,4,43.8,1.5,3.6,4.2
2005,"FIN",48,1.9,3.1,3.5,41.2,1.2,3.3,3.7
2040,"FIN",45.2,1.7,2.8,3,47.1,1.6,4.1,4.5
1970,"FJI",69.9,4.8,6.3,9,51.7,2.2,3.9,5.5
2005,"FJI",67,4.2,5.9,7.9,46,1.7,3.4,4.6
2040,"FJI",63.4,3.6,5.3,6.8,40.3,1.4,3,3.9
1970,"FRA",50.7,2.2,3.4,4,48.3,1.7,4,4.6
2005,"FRA",51.5,1.9,3.4,3.8,48,1.4,3.9,4.3
2040,"FRA",47.6,1.7,3,3.2,51.6,1.7,4.5,4.9
1970,"GAB",64.7,5.6,6.2,10.6,48.8,2.6,4,6.9
2005,"GAB",69.8,4.6,6.3,8.5,52.3,2.2,4.3,5.8
2040,"GAB",66,3.8,5.6,7,43.8,1.5,3.2,4
1970,"GBR",50.3,2.4,3.5,4.1,46,1.7,4,4.8
2005,"GBR",53.8,2.2,3.6,4.1,47.2,1.4,3.9,4.5
2040,"GBR",47.4,1.7,3,3.4,48.5,1.5,4.2,4.7
1970,"GEO",56.5,3.1,4.3,5.5,45.7,1.9,3.7,4.7
2005,"GEO",57.6,2.7,4.1,4.9,53,2,4.5,5.4
2040,"GEO",54.8,2.2,3.8,4.5,47.9,1.5,4,4.8
1970,"GHA",64.1,5.8,6.2,10.9,43.8,2.2,3.3,5.8
2005,"GHA",67.1,4.6,6,8.7,45.4,1.8,3.3,4.8
2040,"GHA",66.5,3.8,5.5,7.2,45.7,1.6,3.4,4.5
1970,"GIN",55.3,6,5.5,10,40,2.6,3.2,5.8
2005,"GIN",64.7,5.1,6.1,8.9,50.6,2.4,4.2,6.1
2040,"GIN",66.1,4.2,5.8,7.8,49.4,1.9,4,5.3
1970,"GLP",56.2,2.6,4,4.6,52.4,1.9,4.5,5.2
2005,"GLP",53.7,2,3.5,3.9,54,1.8,4.7,5.3
2040,"GLP",46.7,1.6,2.8,3.1,51.3,1.7,4.6,5
1970,"GMB",57,5.9,5.6,10.4,44.1,2.7,3.5,6.5
2005,"GMB",71.5,5.3,6.9,10,47.9,2,3.5,5.1
2040,"GMB",67,4.2,6,8,36.3,1.1,2.4,3.3
1970,"GNB",60.3,6.4,6,10.7,36.3,2.1,2.5,4.4
2005,"GNB",61.7,5,5.8,8.5,42.5,1.7,3.2,4.7
2040,"GNB",66.4,4.3,5.9,8.3,39.4,1.2,2.8,3.9
1970,"GNQ",54.2,5.7,5.2,10,39.5,2.5,3,5.9
2005,"GNQ",63.2,4.4,5.4,8.1,49.7,2.4,4.1,6.2
2040,"GNQ",60.2,3.6,4.8,6.5,47.6,2,3.9,5.3
1970,"GRC",48.3,2.1,3.3,3.8,39.8,1.3,3.3,3.8
2005,"GRC",49.7,2,3.5,3.8,34.4,0.9,2.4,2.7
2040,"GRC",52,2.1,3.8,4.2,34.2,0.8,2.4,2.6
1970,"GRD",66.4,4,5.5,7.4,54.3,2.3,4.5,6
2005,"GRD",57.9,2.8,4.3,5.3,44.8,1.5,3.5,4.3
2040,"GRD",55.1,2.4,3.8,4.7,44.7,1.4,3.5,4.3
1970,"GTM",61.8,4.2,5,6.9,57.3,3.4,5.2,7.2
2005,"GTM",53.3,2.4,3.7,4.5,54.3,2.3,5.1,6.2
2040,"GTM",48.5,2,3.3,3.8,51.8,1.9,4.9,5.6
1970,"GUF",68.8,3.6,5.5,6.7,71.2,3.6,7.3,8.9
2005,"GUF",62.7,2.6,4.5,5.1,68.6,2.9,7,7.9
2040,"GUF",58.1,2.3,4,4.5,58.6,2,5.3,5.9
1970,"GUM",60.1,2.9,4.5,5.4,61.3,2.8,6,7.1
2005,"GUM",52.8,2,3.5,3.9,57.1,2.1,5.5,6.1
2040,"GUM",49.8,1.9,3.3,3.6,52.7,1.7,4.7,5.2
1970,"GUY",63.1,3.9,4.9,6.8,52.4,2.4,4.4,6
2005,"GUY",56.2,2.8,4,5.2,49.5,2.1,4.2,5.5
2040,"GUY",53,2.4,3.6,4.5,47.8,1.7,4,5
1970,"HKG",40.4,1.4,2.5,2.8,30.3,0.8,2.2,2.5
2005,"HKG",53.7,2.1,3.5,3.9,33.7,1.1,2.4,2.6
2040,"HKG",57,2.1,4.3,4.6,32.6,0.6,2.1,2.2
1970,"HND",60.1,3.6,4.7,6.6,57.3,3.2,5.5,7.6
2005,"HND",49.1,2.2,3.4,4.2,52.1,2.1,5,6.1
2040,"HND",45.5,1.8,3,3.5,47.6,1.6,4.2,5
1970,"HRV",52.8,2.5,3.7,4.5,42.7,1.6,3.5,4.2
2005,"HRV",54.2,2.2,3.8,4.3,37.2,1,2.6,3
2040,"HRV",56.3,2.3,4,4.5,35.5,0.9,2.4,2.7
1970,"HTI",57.5,5.3,5.2,8.2,38.1,1.9,2.7,4.3
2005,"HTI",58.4,3.7,4.8,6.7,40,1.4,3,4.1
2040,"HTI",56.5,3.2,4.5,5.8,37.3,1.3,2.8,3.6
1970,"HUN",56.9,2.7,4.1,5,43.3,1.5,3.4,4.1
2005,"HUN",56.9,2.6,4.2,4.9,40.4,1.3,3.1,3.7
2040,"HUN",55.7,2.4,4.1,4.7,41.5,1.3,3.3,3.8
1970,"IDN",58.1,3.9,4.8,6.9,44.3,2,3.5,5
2005,"IDN",58.6,2.9,4.5,5.6,48.5,1.7,4,5
2040,"IDN",53.3,2.3,3.8,4.5,49.7,1.8,4.4,5.2
1970,"IND",56.4,4.1,4.6,7,44.3,2.1,3.5,5.3
2005,"IND",54.4,2.7,3.9,5,43.3,1.6,3.3,4.3
2040,"IND",54.6,2.6,3.9,4.8,42.9,1.3,3.3,4
1970,"IRL",60.7,2.9,4.6,5.4,41.7,1.3,3.1,3.7
2005,"IRL",57,2.5,4.2,4.8,39.1,1.1,2.9,3.3
2040,"IRL",51.6,2.2,3.7,4.1,38,1.1,2.9,3.2
1970,"IRN",54.3,3.5,4.3,5.8,45.5,2.2,3.8,5.2
2005,"IRN",55.7,2.4,4,4.7,52.3,1.8,4.8,5.7
2040,"IRN",56,2.4,4,4.7,49,1.6,4.3,5
1970,"IRQ",72.4,5.3,6.8,10.1,60.3,2.9,5.2,7.6
2005,"IRQ",68.8,3.8,5.9,7.5,59.1,2.4,5.2,6.5
2040,"IRQ",60.4,2.9,4.4,5.5,57.7,2.3,5.2,6.5
1970,"ISL",54.8,2.3,3.7,4.4,55.1,2,5,5.9
2005,"ISL",53.1,2,3.7,4.1,46.5,1.3,3.8,4.2
2040,"ISL",48.6,1.9,3.3,3.6,43.8,1.2,3.5,3.8
1970,"ISR",65.8,3.1,4.9,5.7,65.2,2.8,6.3,7.4
2005,"ISR",63.6,2.7,4.6,5.1,63.8,2.3,5.9,6.5
2040,"ISR",55.5,2.2,3.8,4.2,55.1,1.8,4.9,5.4
1970,"ITA",47.7,2.1,3.3,3.9,34.6,1,2.6,3
2005,"ITA",51.6,2.2,3.7,4.1,32.9,0.8,2.4,2.6
2040,"ITA",51,2,3.6,3.8,35.5,0.9,2.7,3
1970,"JAM",60.9,3.4,4.8,6.3,55.7,2.4,5.2,6.8
2005,"JAM",52.6,2.5,3.8,4.7,46.8,1.7,4,4.9
2040,"JAM",55,2.3,3.8,4.5,47.1,1.6,3.9,4.7
1970,"JOR",73.2,4.9,6.8,9.1,58.2,2.5,4.8,6.4
2005,"JOR",63.3,3.2,5,6.2,50,1.7,4,5
2040,"JOR",56,2.4,4,4.6,47.5,1.6,3.9,4.6
1970,"JPN",44.6,1.6,2.8,3.1,40.7,1.2,3.3,3.7
2005,"JPN",48.3,1.8,3.2,3.5,38.5,1.1,2.9,3.2
2040,"JPN",51.4,1.8,3.3,3.6,39.5,1.1,2.9,3.1
1970,"KAZ",64.3,4.2,5.4,7.2,46.5,2,3.4,4.5
2005,"KAZ",65.3,3.1,4.9,6,58,2,4.9,5.9
2040,"KAZ",55.3,2.4,3.9,4.6,52,1.9,4.6,5.5
1970,"KEN",69.4,6.2,6.6,10.5,48.7,2.7,3.8,6
2005,"KEN",61.2,3.5,4.8,6.4,51.1,2,4.2,5.7
2040,"KEN",57.3,2.7,4.2,5.2,50.8,1.8,4.3,5.3
1970,"KGZ",69.2,4.8,6.3,8.2,51.6,2.2,3.8,5
2005,"KGZ",67.7,3.6,5.5,6.8,58.1,2.2,4.8,5.9
2040,"KGZ",57.4,2.7,4.1,4.9,54.7,2.2,4.9,5.9
1970,"KHM",48.2,3.7,3.7,6.7,35.1,1.7,2.4,4.3
2005,"KHM",57.4,3,4.1,5.3,51,2,4.4,5.6
2040,"KHM",48.1,2,3,3.6,54.6,2.2,5.2,6.2
1970,"KIR",64.7,4.8,5.9,8.2,44.6,2,3.1,4.4
2005,"KIR",71.3,4,5.9,7.4,45.3,1.6,3,3.8
2040,"KIR",66.5,3.1,5.1,6.2,42.3,1.2,2.8,3.4
1970,"KOR",47.2,2,3,3.5,33.1,1,2.3,2.6
2005,"KOR",47.9,1.8,3.1,3.3,25.7,0.6,1.5,1.7
2040,"KOR",59.3,2.3,4,4.3,22.7,0.4,1.2,1.3
1970,"KWT",67.1,4.1,6,7.8,49.1,1.8,3.8,5
2005,"KWT",61.2,3.3,5.1,6.2,39.5,1.2,2.8,3.4
2040,"KWT",60.4,2.9,4.6,5.5,42.4,1.2,3.1,3.6
1970,"LAO",59.4,4.9,5.2,8.3,44.1,2.2,3.3,5.3
2005,"LAO",55,2.8,4,5.3,48.8,1.9,4.1,5.4
2040,"LAO",52,2.3,3.6,4.4,48.9,1.8,4.3,5.2
1970,"LBN",62.2,3.2,4.8,5.8,55.4,2.2,4.7,5.8
2005,"LBN",54.4,2.3,3.8,4.4,48.5,1.5,4.1,4.7
2040,"LBN",49.9,1.9,3.2,3.7,50.3,1.6,4.4,5
1970,"LBR",57.4,5.4,5.5,10,45,2.5,3.6,6.5
2005,"LBR",63.8,4.5,5.6,7.9,53.1,2.6,4.6,6.5
2040,"LBR",63,3.4,5.1,6.6,54.7,2.2,4.9,6.3
1970,"LBY",67,4.4,6.1,8.1,38.2,1.4,2.6,3.5
2005,"LBY",64.2,3.6,5.5,6.8,29.6,0.8,1.8,2.2
2040,"LBY",58.6,2.8,4.5,5.3,36.3,1,2.5,3
1970,"LCA",60.2,0,4.5,NA,53.2,0,4.6,NA
2005,"LCA",44.2,0,2.9,NA,41.2,0,3.5,NA
2040,"LCA",47.5,0,3.2,NA,46.2,0,4,NA
1970,"LKA",58.5,3.2,4.4,5.6,46.4,1.8,3.7,4.6
2005,"LKA",54.3,2.2,3.7,4.3,52.5,1.7,4.5,5.3
2040,"LKA",45.5,1.6,2.7,3,53.1,1.9,4.9,5.6
1970,"LSO",62.3,6.1,5.4,10.4,28.7,1.5,1.8,3.5
2005,"LSO",53.9,3.4,3.9,5.9,34.8,1.4,2.3,3.5
2040,"LSO",59.8,3.3,4.6,6.3,42.5,1.6,3.3,4.5
1970,"LTU",55.7,2.7,4,4.9,40.6,1.5,3,3.7
2005,"LTU",59,2.4,4,4.7,42.3,1.4,3.1,3.6
2040,"LTU",58,2.4,4.1,4.6,39.5,1.1,2.6,3
1970,"LUX",49.3,2.3,3.4,4,40.6,1.4,3.2,3.8
2005,"LUX",50.7,2,3.5,3.9,37.3,1,2.9,3.2
2040,"LUX",47.9,1.9,3.3,3.6,41.8,1.2,3.4,3.7
1970,"LVA",56.8,3,4.3,5.4,39.4,1.4,2.8,3.6
2005,"LVA",59.8,2.6,4.3,5.2,44.8,1.3,3.4,4
2040,"LVA",59.3,2.6,4.2,5,41.5,1.2,3,3.5
1970,"MAC",38.3,1.6,2.5,2.9,29,0.9,2.2,2.5
2005,"MAC",47.9,1.7,3,3.3,48.9,1.4,4.2,4.6
2040,"MAC",39.6,1.3,2.3,2.5,53.2,1.8,5.1,5.5
1970,"MAR",54.2,3.5,4.5,6.2,41.9,1.7,3.4,4.7
2005,"MAR",58.1,2.8,4.5,5.3,49.5,1.7,4.4,5.2
2040,"MAR",48.8,2.2,3.4,3.9,48.4,1.5,4.3,4.9
1970,"MDA",60.2,3.4,4.6,6,37.6,1.3,2.6,3.5
2005,"MDA",52.8,2.5,3.8,4.8,37.1,1.2,2.7,3.4
2040,"MDA",56.2,2.6,4.2,5,39,1.1,2.8,3.3
1970,"MDG",61.2,5.2,5.7,9,48.3,2.6,3.9,6.1
2005,"MDG",66.2,3.9,5.4,7.1,60,2.6,5.4,7.1
2040,"MDG",59.9,2.8,4.3,5.2,62,2.6,5.9,7.3
1970,"MDV",50.9,3.3,4,5.4,46.5,2.4,3.9,5.4
2005,"MDV",45.9,1.7,2.9,3.3,51.8,1.7,4.7,5.3
2040,"MDV",41.7,1.4,2.4,2.7,53.8,1.8,5.1,5.7
1970,"MEX",61.7,3.3,4.6,5.9,57.4,2.5,5.1,6.5
